Model,Equation,Numerator Terms,Denominator Terms,Any Negative in Denominator
1,x2_dot = (-4.009*x1**8*x2 + 3.027*x1**8 - 0.004162*x2)/(1.0*x1**8 + 0.008829*x2 + 0.003221),3,3,False
2,x2_dot = (-4.201*x1**8*x2 + 3.117*x1**8 - 0.003684*x2)/(1.0*x1**8 + 0.005637),3,2,False
3,x2_dot = (-3.995*x1**8*x2 + 2.995*x1**8 - 0.003892*x2)/(-0.01632*x1**8*x2 + 1.0*x1**8 - 0.001643*x2 + 0.004974),3,4,True
4,x2_dot = (-0.6269*x1**8 + 0.007653*x2)/(-2.696*x1**8*x2 + 1.0*x1**8 - 0.1793*x2 + 0.01678),2,4,True
5,x2_dot = (-0.5958*x1**8*x2 + 0.004873*x2)/(-2.276*x1**8*x2 + 1.0*x1**8 - 0.09305*x2 + 0.003807),2,4,True
6,x2_dot = (-0.5702*x1**8 + 0.00696*x2)/(-2.82*x1**8*x2 + 1.0*x1**8 - 0.09803*x2 + 0.002294),2,4,True
