Model,Equation,Numerator Terms,Denominator Terms,Any Negative in Denominator
1,x2_dot = (-4.017*x1**8*x2 + 3.019*x1**8 - 0.004001*x2)/(1.0*x1**8 + 0.002226*x2 + 0.004209),3,3,False
2,x2_dot = (-4.018*x1**8*x2 + 3.02*x1**8 - 0.003999*x2)/(1.0*x1**8 + 0.002173*x2 + 0.004221),3,3,False
3,x2_dot = (-4.018*x1**8*x2 + 3.02*x1**8 - 0.003998*x2)/(0.0005981*x1**8*x2 + 1.0*x1**8 + 0.001927*x2 + 0.004284),3,4,False
4,x2_dot = (-4.247*x1**8*x2 + 3.227*x1**8 - 0.00466*x2)/(0.1551*x1**8*x2 + 1.0*x1**8 + 0.01187*x2 + 0.003624),3,4,False
5,x2_dot = (-4.002*x1**8*x2 + 3.005*x1**8 - 0.003959*x2)/(-0.01039*x1**8*x2 + 1.0*x1**8 + 0.001753*x2 + 0.004213),3,4,True
6,x2_dot = (-0.576*x1**8 + 0.007031*x2)/(-2.792*x1**8*x2 + 1.0*x1**8 - 0.1099*x2 + 0.004255),2,4,True
