,Raw,Scaled
a1,-0.119216,-0.533953
b1,0.217386,0.486822
c1,5.36572,0.0469381
d1,0.0,0.0
a2,-0.093311,-0.557236
b2,0.139407,0.624387
c2,-11.4409,-0.0667214
d2,0.0,0.0
