,Raw,Scaled
a1,-0.122094,-0.547516
b1,0.222678,0.497793
c1,5.49099,0.0497106
d1,0.0,0.0
a2,-0.0864708,-0.533376
b2,0.129167,0.602179
c2,-10.5885,-0.0684267
e11,0.0,0.0
e12,0.0,0.0
d2,0.0,0.0
