,Raw,Scaled
a1,-0.113817,-0.622852
b1,0.208446,0.570349
c1,5.13538,0.0548884
d1,0.0,0.0
a2,0.0538592,0.392985
b2,-0.0800394,-0.438007
c2,6.58911,0.0469508
d2,0.0,0.0
