,Raw,Scaled
a1,-0.121655,-0.994786
b1,0.163502,0.996748
c1,-1.28502,-0.0110322
d1,1.72485,0.0101724
e1,-1.55037e-11,-1.49046e-13
f1,-5.42366e-11,-1.49046e-13
