,Raw,Scaled
alpha1,0.238245,0.533533
beta1,-0.119216,-0.533953
n1,-0.00919141,-0.109779
K1,0.503313,0.375711
alpha2,0.0460088,0.206067
n2,0.00411365,0.0491319
K2,-0.715297,-0.533953
beta2,-0.137997,-0.206023
