,Raw,Scaled
alpha1,0.228492,0.625199
beta1,-0.113817,-0.622852
n1,-0.00879098,-0.128287
K1,0.482383,0.439965
alpha2,-0.0264652,-0.144828
n2,-0.00236793,-0.0345553
K2,0.412827,0.376525
beta2,0.0795259,0.145066
